6																																																																																																			
2	4	2	4	2	4																																																																																														
2304																																																																																																			
1932	2706	1831	7299	7533	9622	6081	8677	4677	6720	5632	3559	1644	8896	7360	5841	7825	761	631	9259	8612	3470	6551	2529	617	9601	489	4709	3745	6661	4202	7933	6993	4464	1871	9088	3326	4810	7083	8819	7298	5173	6521	2690	1982	8104	8635	3177	3816	745	3294	9782	5986	7258	1812	7155	1567	858	3729	6813	744	2214	8197	3698	212	1946	4739	1118	4559	5603	9213	5127	4160	4455	413	6844	7289	7842	1737	8313	9606	628	7965	5949	5688	7281	329	2206	2725	9321	4624	3909	8050	958	3345	6064	4357	9744	2787	8585
9524																																																																																																			
4441	5200	3539	4357	5183	181	8311	3515	9885	3125	3427	5583	3611	9288	8441	4721	6790	4652	3332	6349	4043	2575	2332	5789	4242	7030	8584	7068	1915	7724	3777	411	4650	7083	4843	8681	7968	4651	2673	3792	9925	9991	2068	1341	8375	1313	9898	9977	1363	7897	1234	2797	7240	1138	7857	8001	3086	175	7077	9654	6931	7475	3309	7716	3779	3966	2249	1877	9386	5520	5006	4935	7205	8886	8206	952	773	6142	8033	6180	8466	3678	5997	2544	9849	6768	8812	6242	3362	4241	1059	206	4835	9881	2016	6353	5427	4371	3275	3730
3908																																																																																																			
4620	9397	9318	8812	7012	823	1948	3977	4462	5232	2968	2322	1227	4328	1946	3992	6894	1173	5989	1739	3285	5866	3582	4314	7564	718	5413	2648	1716	6710	3545	3161	552	8965	6299	1538	6768	6701	3207	1462	6823	1158	5383	2646	2662	7908	2619	5308	350	1309	7814	3589	3437	9707	6377	8463	3905	2039	3526	3746	3081	5119	7952	3177	8870	2541	8795	2035	6851	664	164	5168	2160	2535	4052	24	6177	525	8467	2392	1668	9320	6718	6247	753	6572	4733	7682	1207	4368	7566	3982	8093	7834	5307	6210	9113	5893	6747	1290
7202																																																																																																			
7328	1726	380	6985	1497	3145	4786	6940	7738	1627	1212	5150	2009	8756	1320	3722	4212	8218	8767	4455	7014	747	8534	2482	330	5295	8170	8168	7171	1301	2133	1588	841	5420	1889	3627	8954	7753	5621	4786	7313	296	75	8438	863	8112	9707	7945	8309	2509	7232	2803	1288	1833	3968	7936	4365	380	215	5203	7289	9594	9473	2310	2059	122	7696	8094	3775	4701	568	2568	4007	7558	9575	3516	3601	7386	5749	3205	5969	8962	3853	4890	5752	7594	5983	2744	9624	6071	2727	1758	7435	5537	5868	1754	7591	2223	5593	5638
5056																																																																																																			
8669	1221	3886	271	2062	856	6451	1739	5783	1514	3006	4114	6550	9820	296	114	3634	8239	3144	9263	5022	9783	3319	7901	7888	5068	69	2891	6695	6200	5526	9115	350	8953	6167	2172	6899	7469	2931	1152	8016	1909	3843	6897	8922	1091	9200	1400	929	3090	9601	8261	5337	6547	8125	3574	6761	6978	5296	6184	6951	9513	2075	9188	9519	1441	6170	4169	9848	7976	872	9475	56	7770	9766	7456	9214	5919	5619	4593	7157	8915	4624	1873	4317	2850	9907	1365	807	1100	2846	8191	8690	2664	4868	1066	1731	625	4880	4820
6204																																																																																																			
2561	9568	9904	2903	7593	3383	4781	5407	3811	3006	9482	6167	3507	6090	350	9032	5924	7146	5826	7696	3514	7395	2565	1474	6197	5306	1100	610	8782	8032	3023	2281	3740	8940	7584	8001	4500	6657	5746	5226	7484	2169	401	741	9504	3128	4556	6519	6245	6367	8	5219	3625	4603	3358	2269	804	1673	93	8614	1090	2753	6300	918	1891	2567	7335	5485	2142	1306	9185	3145	6363	2994	7163	220	4471	5448	3800	5339	3277	3460	906	4964	7835	9026	316	3815	7252	5824	1091	124	4204	6117	874	6193	9221	9857	3466	18
6141																																																																																																			
1849	1144	7816	5657	7068	7032	2237	3468	5346	1751	7678	5524	9134	2479	7921	7064	6446	6556	2602	8627	6134	2553	347	4759	5244	7815	9666	3011	8925	3893	8619	5082	5169	9240	9135	8317	9227	4309	6517	9943	9533	392	9165	9780	5307	874	7464	5751	4212	6664	8709	8082	4406	1658	7990	2634	7049	1259	7854	8954	1716	5320	6146	7927	1180	1210	7457	9080	3115	4628	3504	3461	4953	4292	7181	7684	8436	5737	2586	8626	7857	1797	5295	682	3120	1192	2242	8218	4475	1050	7782	8328	4506	628	798	9984	3459	4529	1237	1254
5695																																																																																																			
2071	8028	8825	1565	318	2519	8392	4434	7243	2925	1807	3339	1375	3937	2130	8470	3175	1954	7930	5320	3838	3233	1649	5787	2165	4170	5698	7520	1674	2804	4365	2147	6543	877	9410	9487	1136	8839	3039	2344	9609	6310	9698	6604	6601	921	6080	4136	3093	2304	6162	9302	9704	8531	9291	3838	3680	6627	3343	3888	3118	100	2722	8384	8106	6851	652	8359	2533	8080	4680	6495	7797	5064	1903	5768	8920	4870	2163	949	7848	2767	6993	8061	7365	1655	7582	9588	7983	4159	497	4468	1745	1397	9108	1590	2344	3438	2280	8358
4145																																																																																																			
1987	6992	8363	6597	5366	1151	3087	1740	7868	2196	3944	3416	7813	3133	5312	2011	6550	7740	8412	9596	813	9441	9366	5860	5056	43	1724	3759	5984	571	6443	2201	2317	6633	2891	1713	6804	6772	7117	1781	3172	9928	1724	3773	5598	780	1534	7837	257	6641	9346	997	3524	8516	5300	143	3293	4868	1194	9007	7675	6775	6265	9339	7153	4306	2385	109	7953	3165	8611	1759	8200	9814	6299	8656	4135	3053	8527	7122	7589	2446	2196	4116	7416	5935	6164	3961	2951	6859	8230	4916	5552	9012	4331	9863	5814	4955	5981	4916
4354																																																																																																			
2369	8816	7271	4915	3488	8358	1970	7151	4951	4144	8308	9152	2113	4889	9309	8162	1281	4747	9496	3833	7906	7872	8549	6090	8493	3910	7871	5522	1438	3495	3084	6540	5956	4632	1128	1828	8934	4017	8245	7260	3646	3801	6588	2884	1927	5316	6743	3961	5280	3399	2533	7953	280	7085	1032	3483	1905	6143	5296	7180	9674	4870	1666	2989	3090	5623	5529	6968	7741	6837	3060	1148	2131	8467	1329	8641	1544	4692	8082	7538	8607	4533	5970	6475	4942	7379	491	9724	4377	3403	3609	9298	7821	609	7830	6773	2990	343	5748	6410
68																																																																																																			
73	32	23	28	1	99	7	18	39	60	36	20	53	58	29	63	57	20	69	7	71	97	64	37	9	97	88	67	47	94	38	99	72	59	21	90	5	51	19	40	14	82	9	47	58	83	73	94	89	40	23	27	24	36	65	11	28	51	97	55	83	16	47	92	79	54	13	18	88	83	85	25	62	63	20	90	4	53	16	73	48	29	77	56	71	20	67	47	59	44	80	97	89	3	67	28	82	30	22	90
53																																																																																																			
30	15	76	34	11	50	11	93	33	52	25	94	65	34	5	35	6	3	97	66	90	53	74	24	43	10	52	76	6	46	75	22	73	14	20	39	70	87	18	6	54	99	87	47	61	95	96	51	5	35	62	33	76	26	39	75	49	85	1	86	68	5	61	0	52	56	100	89	13	23	66	62	58	41	82	51	28	59	7	85	81	77	76	9	88	82	55	22	6	48	35	77	10	89	6	84	53	74	99	63
94																																																																																																			
36	67	74	14	55	24	21	53	90	56	50	76	26	15	1	82	69	14	91	75	1	23	81	69	72	66	48	94	53	21	79	39	81	98	35	10	59	12	8	71	34	1	35	64	88	16	60	97	49	75	50	20	12	16	28	35	52	5	77	3	61	49	98	34	25	14	16	43	66	72	45	43	60	92	64	68	36	97	69	15	58	91	39	78	64	66	37	88	21	18	50	39	74	79	56	91	40	25	98	50
41																																																																																																			
27	7	69	17	32	81	34	51	37	18	16	45	86	37	62	23	61	61	63	21	94	99	40	86	1	78	31	74	15	29	80	57	71	40	92	69	56	78	57	80	3	6	1	1	85	53	12	67	22	15	1	45	6	64	10	0	92	76	64	38	1	92	95	8	13	15	32	7	42	77	33	55	46	18	84	93	84	12	63	48	98	55	66	19	18	57	53	84	92	3	79	50	24	17	22	70	9	64	85	10
83																																																																																																			
92	92	19	30	8	20	63	22	72	91	95	79	40	80	22	41	57	20	90	45	50	11	82	72	43	73	92	94	54	83	97	80	29	84	68	90	44	47	5	94	23	68	67	88	45	39	75	74	32	52	23	93	94	63	24	23	66	4	46	52	72	3	93	28	0	61	35	27	85	4	35	31	74	20	52	28	34	97	61	66	43	65	57	53	15	34	76	83	42	77	79	35	28	26	91	28	20	82	34	5
93																																																																																																			
36	90	56	30	36	34	56	83	87	79	26	21	6	29	52	85	83	67	44	99	65	41	81	35	36	63	57	59	7	52	70	43	93	65	17	71	94	46	46	38	22	77	75	75	28	17	27	51	49	71	41	24	76	28	75	74	89	26	94	47	18	97	43	75	20	39	77	15	85	86	29	31	9	94	91	84	90	36	10	95	23	48	57	83	93	73	41	52	68	55	54	49	65	49	31	68	67	60	53	7
71																																																																																																			
62	68	72	69	44	27	83	75	35	60	42	17	50	77	11	37	3	53	19	43	44	85	61	87	2	15	72	19	24	6	23	20	3	92	12	34	12	95	91	44	96	57	36	78	55	2	36	91	61	87	88	43	85	30	60	68	53	46	18	60	38	53	49	92	14	98	4	56	42	20	47	91	45	92	63	10	61	59	19	27	40	68	73	84	80	46	8	46	91	80	26	99	52	48	87	60	3	70	38	44
54																																																																																																			
64	43	1	87	57	80	12	69	85	49	29	82	77	1	21	76	49	31	84	1	71	92	89	70	34	19	63	15	68	6	28	48	15	25	52	32	61	14	31	21	64	56	67	46	64	95	97	76	8	22	43	25	0	75	79	65	15	30	28	1	95	20	37	70	86	40	1	32	40	88	81	49	83	31	25	37	14	100	16	83	96	16	60	98	11	7	15	97	60	46	52	33	53	9	27	46	22	87	93	9
24																																																																																																			
48	17	6	89	60	78	99	96	14	65	46	49	99	58	39	59	74	14	23	83	21	87	53	91	19	42	57	31	33	56	27	86	99	18	1	57	28	28	13	30	19	30	44	31	16	10	93	50	5	58	77	8	6	97	24	66	54	41	5	62	82	22	96	5	83	3	28	51	15	63	88	32	42	11	46	78	50	51	23	33	47	54	44	24	34	2	67	42	74	77	37	38	8	46	72	75	7	64	82	72
28																																																																																																			
19	95	74	19	9	95	8	72	89	5	2	47	39	56	90	94	50	40	96	94	8	1	37	7	75	56	96	97	48	41	2	10	62	79	37	86	97	7	42	20	5	40	41	26	84	30	49	38	24	88	31	48	98	3	70	79	1	31	81	92	44	0	46	19	91	49	41	8	15	68	33	46	60	36	76	57	52	13	99	69	54	24	12	93	49	44	4	49	41	36	20	67	72	40	47	54	4	19	83	17
98																																																																																																			
46	19	80	63	66	25	19	35	49	83	46	47	39	18	71	85	51	98	99	80	19	17	75	75	55	91	69	91	48	16	51	73	2	69	84	79	2	39	38	47	40	98	44	0	73	70	18	78	53	50	74	30	72	63	38	87	67	72	51	7	18	70	41	14	67	65	60	95	73	44	86	15	18	80	62	71	86	70	71	60	95	49	100	69	49	93	57	35	40	63	10	52	19	40	11	80	68	66	71	87
79																																																																																																			
